0
Environment:
	Python: 3.8.11
	PyTorch: 1.9.1+cu102
	Torchvision: 0.10.1+cu102
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.21.2
	PIL: 8.3.1
Args:
	algorithm: ERM
	checkpoint_freq: None
	data_dir: ./domainbed/data/
	dataset: DGMaterials
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: train_output_small_long/ERM
	save_model_every_checkpoint: False
	seed: 0
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [1]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	batch_size: 8
	class_balanced: False
	data_augmentation: True
	lr: 1e-05
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  epoch         loss          mem_gb        step          step_time    
0.0395341765  0.0410733453  0.0356171735  0.0337054530  0.0000000000  2.7567667961  1.0266308784  0             0.3414404392 
0.4943560938  0.4966726297  0.4837388193  0.4859023902  0.0429338104  1.8230223993  1.0266308784  300           0.1349018542 
0.5081483337  0.5050447227  0.4943291592  0.4983540862  0.0858676208  1.4712630103  1.0266308784  600           0.1348326564 
0.5569131143  0.5574239714  0.5468515206  0.5488049234  0.1288014311  1.3430429233  1.0266308784  900           0.1368383853 
0.5867873562  0.5843291592  0.5845438283  0.5919564906  0.1717352415  1.2790968361  1.0266308784  1200          0.1369719378 
0.6004007084  0.6013595707  0.5921824687  0.6004723057  0.2146690519  1.2240555114  1.0266308784  1500          0.1367860341 
0.6204361282  0.6159570662  0.6126296959  0.6204379562  0.2576028623  1.1723347104  1.0266308784  1800          0.1377555156 
0.6264467541  0.6239713775  0.6156887299  0.6230857306  0.3005366726  1.1332643490  1.0266308784  2100          0.1369057870 
0.6219745622  0.6170304114  0.6215742397  0.6286675254  0.3434704830  1.0972523864  1.0266308784  2400          0.1355441109 
0.6427970877  0.6397137746  0.6217352415  0.6218691856  0.3864042934  1.0752144124  1.0266308784  2700          0.1376591070 
0.6302033953  0.6260465116  0.6291234347  0.6336052669  0.4293381038  1.0976294201  1.0266308784  3000          0.1363926975 
0.6613298510  0.6562432916  0.6501431127  0.6586517819  0.4722719141  1.0715134407  1.0266308784  3300          0.1370061676 
0.6591653101  0.6556708408  0.6464400716  0.6522828109  0.5152057245  1.0361216747  1.0266308784  3600          0.1367920915 
0.6523675784  0.6408586762  0.6250626118  0.6290968942  0.5581395349  1.0363237608  1.0266308784  3900          0.1450218852 
0.6704531225  0.6634704830  0.6595348837  0.6634464005  0.6010733453  1.0331500729  1.0266308784  4200          0.1451952593 
0.6637627234  0.6573881932  0.6459212880  0.6542149707  0.6440071556  1.0150978030  1.0266308784  4500          0.1451679444 
0.6751578684  0.6669767442  0.6595527728  0.6671675970  0.6869409660  0.9151762227  1.0266308784  4800          0.1514439829 
0.6813294932  0.6719856887  0.6642397138  0.6706741091  0.7298747764  0.9593470088  1.0266308784  5100          0.1535332529 
0.6777159621  0.6685509839  0.6603935599  0.6659510520  0.7728085868  0.9706236782  1.0266308784  5400          0.1519991175 
0.6753725336  0.6667620751  0.6693023256  0.6774724488  0.8157423971  0.9231093235  1.0266308784  5700          0.1516464551 
0.6827963722  0.6726296959  0.6749552773  0.6836267354  0.8586762075  0.9197054120  1.0266308784  6000          0.1516256134 
0.6899697680  0.6835778175  0.6646690519  0.6703163017  0.9016100179  0.9449536308  1.0266308784  6300          0.1516228811 
0.7027423481  0.6921645796  0.6829874776  0.6914269357  0.9445438283  0.9060431737  1.0266308784  6600          0.1514840515 
0.6921521976  0.6778533095  0.6695706619  0.6763990268  0.9874776386  0.9153963699  1.0266308784  6900          0.1513849592 
0.6983238225  0.6864400716  0.6694812165  0.6705309861  1.0304114490  0.9365574339  1.0266308784  7200          0.1516622480 
0.7017405771  0.6880858676  0.6789803220  0.6844854730  1.0733452594  0.9041790457  1.0266308784  7500          0.1515342164 
0.6896835477  0.6730590340  0.6650805009  0.6695291255  1.1162790698  0.8647539674  1.0266308784  7800          0.1511054587 
0.6919911987  0.6783542039  0.6825402504  0.6852726492  1.1592128801  0.8667613177  1.0266308784  8100          0.1512084023 
0.7093254146  0.6950268336  0.6873881932  0.6961499928  1.2021466905  0.8515544768  1.0266308784  8400          0.1516655445 
0.7003273644  0.6868694097  0.6759570662  0.6801202233  1.2450805009  0.8775321859  1.0266308784  8700          0.1516267594 
0.7123307275  0.6939534884  0.6811806798  0.6857020180  1.2880143113  0.9184090469  1.0266308784  9000          0.1512828056 
0.7157117046  0.7023255814  0.6952951699  0.7004436811  1.3309481216  0.8169449328  1.0266308784  9300          0.1510214718 
0.7137797177  0.6994633274  0.6912522361  0.6989408902  1.3738819320  0.8797874212  1.0266308784  9600          0.1505233828 
0.7286095061  0.7108407871  0.6965652952  0.7020895950  1.4168157424  0.8138326889  1.0266308784  9900          0.1511264634 
0.7194146795  0.7027549195  0.6879606440  0.6938600258  1.4309838998  0.8952484981  1.0266308784  9999          0.1512693155 
