2
Environment:
	Python: 3.8.11
	PyTorch: 1.9.1+cu102
	Torchvision: 0.10.1+cu102
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.21.2
	PIL: 8.3.1
Args:
	algorithm: IRM
	checkpoint_freq: None
	data_dir: ./domainbed/data/
	dataset: DGMaterials
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: train_output_small_long/IRM
	save_model_every_checkpoint: False
	seed: 0
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [1]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	batch_size: 8
	class_balanced: False
	data_augmentation: True
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 1e-05
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  epoch         loss          mem_gb        nll           penalty       step          step_time    
0.0387112932  0.0407871199  0.0358497317  0.0338485759  0.0000000000  2.7870981693  1.0266313553  2.7567667961  0.0303314775  0             0.3282110691 
0.3918355664  0.3924865832  0.3998568873  0.4016029770  0.0429338104  2.0095578208  1.0266313553  2.0060667996  0.0034910201  300           0.1353540603 
0.2575624765  0.2571019678  0.2623613596  0.2606268785  0.0858676208  3.2973519591  1.0266313553  1.8740236392  0.0271281370  600           0.1354682255 
0.3530884957  0.3514847943  0.3552236136  0.3548733362  0.1288014311  1.5902421373  1.0266313553  2.2437763882  -0.006535342  900           0.1375828513 
0.2775084524  0.2765652952  0.2996601073  0.2995563189  0.1717352415  16.570963952  1.0266313553  2.4638086506  0.1410715534  1200          0.1375109100 
0.3277937783  0.3309481216  0.3220930233  0.3262487477  0.2146690519  3.2489693236  1.0266313553  2.2791265512  0.0096984279  1500          0.1376808341 
0.2950036672  0.2977459750  0.3036851521  0.3068555890  0.2576028623  2.4508121852  1.0266313553  2.2425240938  0.0020828811  1800          0.1385353080 
0.3180801775  0.3205008945  0.3375313059  0.3379848290  0.3005366726  1.3782258761  1.0266313553  2.2601491920  -0.008819233  2100          0.1367451612 
0.3269530062  0.3366010733  0.3498032200  0.3519393159  0.3434704830  0.2709629969  1.0266313553  2.2484070603  -0.019774439  2400          0.1364393306 
0.1567950484  0.1582826476  0.1677459750  0.1688135108  0.3864042934  4.3511653149  1.0266313553  2.2579872918  0.0209317806  2700          0.1382026092 
0.2049694997  0.2103756708  0.2320751342  0.2336482038  0.4293381038  2.3325228484  1.0266313553  2.3577640649  -0.000252411  3000          0.1363222257 
0.2100677984  0.2100178891  0.2104293381  0.2113210248  0.4722719141  1.9016146994  1.0266313553  2.3202209878  -0.004186062  3300          0.1366874472 
0.2229655999  0.2241144902  0.2250805009  0.2251323887  0.5152057245  2.0056810923  1.0266313553  2.3349020104  -0.003292209  3600          0.1367402871 
0.1653101018  0.1645796064  0.1650626118  0.1655932446  0.5581395349  3.5793952938  1.0266313553  2.3471494035  0.0123224595  3900          0.1461497601 
0.2168118638  0.2208944544  0.2386225403  0.2374409618  0.6010733453  3.4440466042  1.0266313553  2.3898835218  0.0105416310  4200          0.1450944440 
0.1652564355  0.1644364937  0.1649731664  0.1656648061  0.6440071556  2.5788792320  1.0266313553  2.4370661068  0.0014181312  4500          0.1453689694 
0.1653101018  0.1645796064  0.1650626118  0.1655932446  0.6869409660  2.4225877142  1.0266313553  2.4133127765  0.0000927494  4800          0.1450563486 
0.1653101018  0.1645796064  0.1650626118  0.1655932446  0.7298747764  2.9609695594  1.0266313553  2.4189381174  0.0054203144  5100          0.1517108003 
0.1659719862  0.1654382826  0.1651162791  0.1655216831  0.7728085868  2.3217724208  1.0266313553  2.4224589050  -0.001006865  5400          0.1523576792 
0.1654174344  0.1646511628  0.1652057245  0.1656648061  0.8157423971  2.4812107293  1.0266313553  2.3941246855  0.0008708606  5700          0.1522556186 
0.1653101018  0.1645796064  0.1650626118  0.1655216831  0.8586762075  2.8947761830  1.0266313553  2.4282468013  0.0046652941  6000          0.1521568783 
0.1653458793  0.1645080501  0.1651878354  0.1658794905  0.9016100179  2.7545856384  1.0266313553  2.4437739964  0.0031081164  6300          0.1523273571 
0.1657930985  0.1651520572  0.1650805009  0.1655216831  0.9445438283  2.3495564477  1.0266313553  2.4625337919  -0.001129773  6600          0.1521799541 
0.0469043488  0.0450089445  0.0467978533  0.0441534278  0.9874776386  3.1728691542  1.0266313553  2.4607862131  0.0071208293  6900          0.1519399182 
0.0507683226  0.0486583184  0.0512343470  0.0482324317  1.0304114490  2.5905114702  1.0266313553  2.4936875439  0.0009682394  7200          0.1520720951 
0.0608933651  0.0594633274  0.0608765653  0.0590382138  1.0733452594  2.7330029742  1.0266313553  2.5053057575  0.0022769722  7500          0.1522867695 
0.1591563657  0.1560644007  0.1617173524  0.1623014169  1.1162790698  2.5364555971  1.0266313553  2.5009419640  0.0003551364  7800          0.1509861906 
0.0469222375  0.0453667263  0.0470661896  0.0442965507  1.1592128801  2.6570749084  1.0266313553  2.5060040100  0.0015107091  8100          0.1516338245 
0.0463855745  0.0444364937  0.0465474061  0.0438671819  1.2021466905  2.5762862817  1.0266313553  2.5141237322  0.0006216255  8400          0.1516186492 
0.1651312141  0.1631484794  0.1654382826  0.1661657364  1.2450805009  2.3527738428  1.0266313553  2.4861252618  -0.001333514  8700          0.1516709741 
0.1653637681  0.1642218247  0.1651699463  0.1653069987  1.2880143113  2.6098694249  1.0266313553  2.4782410232  0.0013162841  9000          0.1524885948 
0.1653101018  0.1645796064  0.1650268336  0.1655932446  1.3309481216  2.5024486812  1.0266313553  2.5030765724  -0.000006278  9300          0.1514842844 
0.2360422890  0.2402862254  0.2352057245  0.2327894662  1.3738819320  2.3596180244  1.0266313553  2.4740539893  -0.001144359  9600          0.1508582242 
0.2288510045  0.2288372093  0.2305724508  0.2289251467  1.4168157424  2.4872184666  1.0266313553  2.4461709571  0.0004104755  9900          0.1514730628 
0.1653279906  0.1645796064  0.1650805009  0.1656648061  1.4309838998  2.5074825178  1.0266313553  2.4163303616  0.0009115219  9999          0.1507388389 
